variables,units,values,description
towerse.G_full,Pa,"[8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10]",
towerse.sigma_y_full,Pa,"[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08]",
towerse.rho_full,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
towerse.outfitting_full,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07]",
towerse.member.unit_cost_full,USD/kg,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",
towerse.labor_cost_rate,USD/min,[0.98],
towerse.painting_cost_rate,USD/m**2,[30.],
towerse.rna_mass,kg,[147214.52037017],
towerse.rna_I,kg*m**2,"[ 1.54397810e+07  1.21031907e+07  1.19786185e+07 -4.92333218e+00
  1.02634932e+03  7.40271877e+03]",
towerse.rna_cg,m,[-1.8826704  -0.05783442  1.1091144 ],
towerse.tower_mass,kg,[154941.95950772],
towerse.tower_center_of_mass,m,[29.83142939],
towerse.tower_I_base,kg*m**2,"[2.07095495e+08 2.07095495e+08 5.82723927e+05 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
towerse.env.Uref,m/s,[10.66670166],
towerse.wind_reference_height,m,[80.],
towerse.z0,m,[0.],
towerse.shearExp,,[0.2],
towerse.env.windLoads.U,m/s,"[ 0.          5.40263836  6.20600179  6.73023376  7.12915406  7.45473247
  7.73172415  7.97370137  8.18943705  8.38457789  8.56323893  8.72812553
  8.88141881  9.02467725  9.15937765  9.28659089  9.40719287  9.52190979
  9.63135083  9.73612728  9.83657847  9.9330865  10.02589908 10.11539694
 10.20183512 10.28543935 10.36641049 10.4449281  10.52094466 10.59482571
 10.66670166]",
towerse.beta_wind,deg,[0.],
towerse.rho_air,kg/m**3,[1.225],
towerse.mu_air,kg/m/s,[1.81e-05],
towerse.cd_usr,,[-1.],
towerse.env.distLoads.windLoads_Px,N/m,"[  0.          31.75599792  44.38345798  53.76997158  62.19141519
  69.50648824  76.00173856  81.53788689  86.57567696  91.22485262
  96.38406132 101.36175878 106.20359834 110.02106799 113.67902971
 117.19647435 121.17246936 125.07576346 128.90348337 131.17910923
 133.3128555  135.31356963 138.34489701 141.30672968 144.2028498
 147.03670346 149.81144146 152.52995409 155.18756985 157.7943502
 160.35254675]",
towerse.env.distLoads.windLoads_Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_qdyn,N/m**2,"[ 0.         17.877957   23.59010568 27.74382843 31.13021303 34.03848468
 36.61497945 38.94269706 41.07846354 43.05945219 44.91404981 46.66035735
 48.31375504 49.88493971 51.38519684 52.8224718  54.2033576  55.53339416
 56.8172878  58.06020688 59.26444403 60.43305207 61.56767455 62.67176886
 63.74743182 64.79653581 65.82076072 66.8216203  67.79779433 68.7533282
 69.6893462 ]",
towerse.env.distLoads.windLoads_z,m,"[ 0.          2.66666667  5.33333333  8.         10.6691358  13.3382716
 16.00740741 18.67407407 21.34074074 24.00740741 26.67654321 29.34567901
 32.01481481 34.68148148 37.34814815 40.01481481 42.68148148 45.34814815
 48.01481481 50.68395062 53.35308642 56.02222222 58.68888889 61.35555556
 64.02222222 66.68888889 69.35555556 72.02222222 74.68148148 77.34074074
 80.        ]",
towerse.env.distLoads.windLoads_beta,deg,[0.],
towerse.env.distLoads.waveLoads_Px,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_qdyn,N/m**2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_z,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_beta,deg,[0.],
towerse.yaw,deg,[0.],
towerse.s_all,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Px_global,N/m,"[  0.          31.75599792  44.38345798  53.76997158  62.19141519
  69.50648824  76.00173856  81.53788689  86.57567696  91.22485262
  96.38406132 101.36175878 106.20359834 110.02106799 113.67902971
 117.19647435 121.17246936 125.07576346 128.90348337 131.17910923
 133.3128555  135.31356963 138.34489701 141.30672968 144.2028498
 147.03670346 149.81144146 152.52995409 155.18756985 157.7943502
 160.35254675]",
towerse.g2e.Py_global,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Pz_global,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.qdyn_global,Pa,"[ 0.         17.877957   23.59010568 27.74382843 31.13021303 34.03848468
 36.61497945 38.94269706 41.07846354 43.05945219 44.91404981 46.66035735
 48.31375504 49.88493971 51.38519684 52.8224718  54.2033576  55.53339416
 56.8172878  58.06020688 59.26444403 60.43305207 61.56767455 62.67176886
 63.74743182 64.79653581 65.82076072 66.8216203  67.79779433 68.7533282
 69.6893462 ]",
towerse.lc:Px,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.lc:Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.lc:Pz,N/m,"[   0.          -31.75599792  -44.38345798  -53.76997158  -62.19141519
  -69.50648824  -76.00173856  -81.53788689  -86.57567696  -91.22485262
  -96.38406132 -101.36175878 -106.20359834 -110.02106799 -113.67902971
 -117.19647435 -121.17246936 -125.07576346 -128.90348337 -131.17910923
 -133.3128555  -135.31356963 -138.34489701 -141.30672968 -144.2028498
 -147.03670346 -149.81144146 -152.52995409 -155.18756985 -157.7943502
 -160.35254675]",
towerse.lc:qdyn,Pa,"[ 0.         17.877957   23.59010568 27.74382843 31.13021303 34.03848468
 36.61497945 38.94269706 41.07846354 43.05945219 44.91404981 46.66035735
 48.31375504 49.88493971 51.38519684 52.8224718  54.2033576  55.53339416
 56.8172878  58.06020688 59.26444403 60.43305207 61.56767455 62.67176886
 63.74743182 64.79653581 65.82076072 66.8216203  67.79779433 68.7533282
 69.6893462 ]",
towerse.section_A,m**2,"[0.39032794 0.38711787 0.38390779 0.35943567 0.35994702 0.36045837
 0.31950686 0.31900888 0.31851089 0.28121312 0.28263062 0.28404811
 0.2396878  0.23936363 0.23903945 0.20240188 0.20284763 0.20329338
 0.16435468 0.16336976 0.16238483 0.12918043 0.12918043 0.12918043
 0.09802745 0.09802745 0.09802745 0.09658701 0.09658701 0.09658701]",
towerse.section_Asx,m**2,"[0.22224955 0.2204281  0.21860664 0.20462974 0.2049199  0.20521005
 0.18182739 0.18154481 0.18126224 0.15997978 0.16078413 0.16158847
 0.1362978  0.13611385 0.13592989 0.11505831 0.11531125 0.1155642
 0.09339787 0.09283897 0.09228006 0.07338947 0.07338947 0.07338947
 0.05567552 0.05567552 0.05567552 0.05485672 0.05485672 0.05485672]",
towerse.section_Asy,m**2,"[0.22224955 0.2204281  0.21860664 0.20462974 0.2049199  0.20521005
 0.18182739 0.18154481 0.18126224 0.15997978 0.16078413 0.16158847
 0.1362978  0.13611385 0.13592989 0.11505831 0.11531125 0.1155642
 0.09339787 0.09283897 0.09228006 0.07338947 0.07338947 0.07338947
 0.05567552 0.05567552 0.05567552 0.05485672 0.05485672 0.05485672]",
towerse.section_Ixx,kg*m**2,"[0.75164094 0.73324914 0.71515983 0.66555004 0.66839453 0.67124711
 0.59587554 0.59309374 0.5903206  0.52380585 0.53176664 0.53980769
 0.45796176 0.45610613 0.45425552 0.3855113  0.38806393 0.39062781
 0.31508168 0.30945105 0.30388791 0.24059922 0.24059922 0.24059922
 0.18280374 0.18280374 0.18280374 0.18012793 0.18012793 0.18012793]",
towerse.section_Iyy,kg*m**2,"[0.75164094 0.73324914 0.71515983 0.66555004 0.66839453 0.67124711
 0.59587554 0.59309374 0.5903206  0.52380585 0.53176664 0.53980769
 0.45796176 0.45610613 0.45425552 0.3855113  0.38806393 0.39062781
 0.31508168 0.30945105 0.30388791 0.24059922 0.24059922 0.24059922
 0.18280374 0.18280374 0.18280374 0.18012793 0.18012793 0.18012793]",
towerse.section_J0,kg*m**2,"[1.50328187 1.46649827 1.43031967 1.33110008 1.33678905 1.34249421
 1.19175108 1.18618747 1.18064121 1.04761169 1.06353328 1.07961538
 0.91592352 0.91221226 0.90851104 0.77102259 0.77612786 0.78125562
 0.63016335 0.6189021  0.60777582 0.48119844 0.48119844 0.48119844
 0.36560748 0.36560748 0.36560748 0.36025587 0.36025587 0.36025587]",
towerse.section_rho,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
towerse.section_E,Pa,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11]",
towerse.section_G,Pa,"[8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10]",
towerse.tower.rna_F,N,"[[  572318.37651088]
 [    7376.13035644]
 [-1073299.06127304]]",
towerse.tower.rna_M,N*m,"[[  89058.48414657]
 [1362561.69638835]
 [ 582337.65667787]]",
towerse.Px,N/m,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
towerse.Py,N/m,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
towerse.Pz,N/m,"[[   0.        ]
 [ -31.75599792]
 [ -44.38345798]
 [ -53.76997158]
 [ -62.19141519]
 [ -69.50648824]
 [ -76.00173856]
 [ -81.53788689]
 [ -86.57567696]
 [ -91.22485262]
 [ -96.38406132]
 [-101.36175878]
 [-106.20359834]
 [-110.02106799]
 [-113.67902971]
 [-117.19647435]
 [-121.17246936]
 [-125.07576346]
 [-128.90348337]
 [-131.17910923]
 [-133.3128555 ]
 [-135.31356963]
 [-138.34489701]
 [-141.30672968]
 [-144.2028498 ]
 [-147.03670346]
 [-149.81144146]
 [-152.52995409]
 [-155.18756985]
 [-157.7943502 ]
 [-160.35254675]]",
towerse.post.cylinder_Fz,N,"[[-2514574.47380901]
 [-2428426.64406685]
 [-2342963.28128948]
 [-2262841.87675706]
 [-2182585.91532215]
 [-2102197.94193413]
 [-2030971.02387926]
 [-1959840.83973829]
 [-1888808.56028216]
 [-1825995.66208173]
 [-1762853.99323412]
 [-1699383.98583284]
 [-1645821.53000751]
 [-1592321.26334185]
 [-1538883.58188017]
 [-1493579.69347703]
 [-1448166.32281591]
 [-1402643.66561274]
 [-1365733.97933296]
 [-1329037.59504788]
 [-1292554.87596459]
 [-1263479.83232125]
 [-1234396.87770103]
 [-1205306.19055853]
 [-1183132.52699289]
 [-1160951.46009931]
 [-1138763.14210804]
 [-1116948.66791432]
 [-1095127.26400995]
 [-1073299.06127304]]",
towerse.post.cylinder_Vx,N,"[[572337.34164072]
 [572371.79151841]
 [572405.39904182]
 [572432.41493455]
 [572464.96684946]
 [572496.30162016]
 [572504.26848817]
 [572532.62745827]
 [572559.85028608]
 [572556.88013601]
 [572583.19492622]
 [572608.21121877]
 [572583.64968763]
 [572604.34909481]
 [572623.90993175]
 [572594.91717996]
 [572613.13106821]
 [572630.14098917]
 [572585.10155645]
 [572597.60702671]
 [572609.00383092]
 [572560.99976183]
 [572571.847983  ]
 [572581.48336267]
 [572526.60560714]
 [572533.83327542]
 [572539.84033126]
 [572540.78999043]
 [572544.33568867]
 [572546.66680767]]",
towerse.post.cylinder_Vy,N,"[[7376.33391259]
 [7376.69606957]
 [7377.04665174]
 [7377.32540619]
 [7377.65929613]
 [7377.97763217]
 [7378.05136866]
 [7378.33303023]
 [7378.59995862]
 [7378.55621871]
 [7378.80764238]
 [7379.04281027]
 [7378.77870788]
 [7378.96421176]
 [7379.13500996]
 [7378.82730974]
 [7378.97787304]
 [7379.11319295]
 [7378.65474915]
 [7378.7393477 ]
 [7378.8092834 ]
 [7378.33207514]
 [7378.38800508]
 [7378.4284447 ]
 [7377.90743638]
 [7377.91689961]
 [7377.91080039]
 [7377.8590686 ]
 [7377.82207233]
 [7377.76963307]]",
