variables,units,values,description
towerse.G_full,Pa,"[8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10]",
towerse.sigma_y_full,Pa,"[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08]",
towerse.rho_full,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
towerse.outfitting_full,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07]",
towerse.member.unit_cost_full,USD/kg,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",
towerse.labor_cost_rate,USD/min,[0.98],
towerse.painting_cost_rate,USD/m**2,[30.],
towerse.rna_mass,kg,[139839.85604136],
towerse.rna_I,kg*m**2,"[ 9.60778983e+06  8.44901521e+06  8.32584488e+06 -4.21969206e+00
  1.26500162e+05  6.77750169e+03]",
towerse.rna_cg,m,[-1.56062939 -0.06043125  1.07526009],
towerse.tower_mass,kg,[147181.86715305],
towerse.tower_center_of_mass,m,[29.98498932],
towerse.tower_I_base,kg*m**2,"[1.98984195e+08 1.98984195e+08 5.53927193e+05 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
towerse.env.Uref,m/s,[11.36826695],
towerse.wind_reference_height,m,[80.],
towerse.z0,m,[0.],
towerse.shearExp,,[0.2],
towerse.env.windLoads.U,m/s,"[ 0.          5.75797814  6.61418002  7.17289152  7.59804942  7.94504163
  8.24025147  8.49814391  8.72806885  8.9360444   9.12645625  9.30218769
  9.46556331  9.61824408  9.76180393  9.89738417 10.02591833 10.14818036
 10.26481951 10.37648727 10.48354528 10.58640079 10.68531779 10.78070207
 10.87282541 10.96192842 11.04822516 11.13190699 11.21292328 11.2916636
 11.36826695]",
towerse.beta_wind,deg,[0.],
towerse.rho_air,kg/m**3,[1.225],
towerse.mu_air,kg/m/s,[1.81e-05],
towerse.cd_usr,,[-1.],
towerse.env.distLoads.windLoads_Px,N/m,"[  0.          37.11502983  52.13113951  63.18835971  72.81484034
  81.06150661  88.37128173  94.58769422 100.27728787 105.55209539
 111.28296915 116.82380265 122.21894963 127.03702724 131.68803764
 136.1865366  141.44481221 146.62843615 151.74122831 153.84863795
 155.76278291 157.49591616 161.01864737 164.45395369 167.80676745
 171.08157022 174.28244893 177.41314339 180.4686651  183.46094058
 186.39286428]",
towerse.env.distLoads.windLoads_Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_qdyn,N/m**2,"[ 0.         20.30701629 26.79526864 31.51335335 35.35984247 38.66325795
 41.58981837 44.23380053 46.65975137 48.90989487 51.01647473 53.00005124
 54.87809434 56.66275424 58.36684973 59.99940573 61.56791104 63.07865828
 64.5369932  65.9487864  67.31664198 68.64402758 69.93281003 71.18691648
 72.40872864 73.60037329 74.76375856 75.90060388 77.00940966 78.09477091
 79.1579647 ]",
towerse.env.distLoads.windLoads_z,m,"[ 0.          2.66666667  5.33333333  8.         10.6691358  13.3382716
 16.00740741 18.67407407 21.34074074 24.00740741 26.67654321 29.34567901
 32.01481481 34.68148148 37.34814815 40.01481481 42.68148148 45.34814815
 48.01481481 50.68395062 53.35308642 56.02222222 58.68888889 61.35555556
 64.02222222 66.68888889 69.35555556 72.02222222 74.68148148 77.34074074
 80.        ]",
towerse.env.distLoads.windLoads_beta,deg,[0.],
towerse.env.distLoads.waveLoads_Px,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_qdyn,N/m**2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_z,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_beta,deg,[0.],
towerse.yaw,deg,[0.],
towerse.s_all,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Px_global,N/m,"[  0.          37.11502983  52.13113951  63.18835971  72.81484034
  81.06150661  88.37128173  94.58769422 100.27728787 105.55209539
 111.28296915 116.82380265 122.21894963 127.03702724 131.68803764
 136.1865366  141.44481221 146.62843615 151.74122831 153.84863795
 155.76278291 157.49591616 161.01864737 164.45395369 167.80676745
 171.08157022 174.28244893 177.41314339 180.4686651  183.46094058
 186.39286428]",
towerse.g2e.Py_global,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Pz_global,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.qdyn_global,Pa,"[ 0.         20.30701629 26.79526864 31.51335335 35.35984247 38.66325795
 41.58981837 44.23380053 46.65975137 48.90989487 51.01647473 53.00005124
 54.87809434 56.66275424 58.36684973 59.99940573 61.56791104 63.07865828
 64.5369932  65.9487864  67.31664198 68.64402758 69.93281003 71.18691648
 72.40872864 73.60037329 74.76375856 75.90060388 77.00940966 78.09477091
 79.1579647 ]",
towerse.lc:Px,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.lc:Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.lc:Pz,N/m,"[   0.          -37.11502983  -52.13113951  -63.18835971  -72.81484034
  -81.06150661  -88.37128173  -94.58769422 -100.27728787 -105.55209539
 -111.28296915 -116.82380265 -122.21894963 -127.03702724 -131.68803764
 -136.1865366  -141.44481221 -146.62843615 -151.74122831 -153.84863795
 -155.76278291 -157.49591616 -161.01864737 -164.45395369 -167.80676745
 -171.08157022 -174.28244893 -177.41314339 -180.4686651  -183.46094058
 -186.39286428]",
towerse.lc:qdyn,Pa,"[ 0.         20.30701629 26.79526864 31.51335335 35.35984247 38.66325795
 41.58981837 44.23380053 46.65975137 48.90989487 51.01647473 53.00005124
 54.87809434 56.66275424 58.36684973 59.99940573 61.56791104 63.07865828
 64.5369932  65.9487864  67.31664198 68.64402758 69.93281003 71.18691648
 72.40872864 73.60037329 74.76375856 75.90060388 77.00940966 78.09477091
 79.1579647 ]",
towerse.section_A,m**2,"[0.37038741 0.36801401 0.36564062 0.33939057 0.33983692 0.34028326
 0.30183057 0.30113794 0.30044531 0.26636289 0.26719006 0.26801724
 0.22786241 0.22798616 0.22810991 0.19106279 0.19205034 0.19303789
 0.15405478 0.15271567 0.15137656 0.12182224 0.12182224 0.12182224
 0.09548315 0.09548315 0.09548315 0.09777086 0.09777086 0.09777086]",
towerse.section_Asx,m**2,"[0.21086141 0.20951469 0.20816797 0.19317943 0.1934327  0.19368596
 0.17173887 0.17134584 0.17095282 0.15151213 0.1519815  0.15245088
 0.12956255 0.12963277 0.129703   0.10860124 0.10916164 0.10972203
 0.08753529 0.0867754  0.0860155  0.06920462 0.06920462 0.06920462
 0.05422925 0.05422925 0.05422925 0.05552967 0.05552967 0.05552967]",
towerse.section_Asy,m**2,"[0.21086141 0.20951469 0.20816797 0.19317943 0.1934327  0.19368596
 0.17173887 0.17134584 0.17095282 0.15151213 0.1519815  0.15245088
 0.12956255 0.12963277 0.129703   0.10860124 0.10916164 0.10972203
 0.08753529 0.0867754  0.0860155  0.06920462 0.06920462 0.06920462
 0.05422925 0.05422925 0.05422925 0.05552967 0.05552967 0.05552967]",
towerse.section_Ixx,kg*m**2,"[0.71002959 0.69646798 0.68308016 0.63140014 0.63389447 0.63639536
 0.56478569 0.56090656 0.55704523 0.49492863 0.49955378 0.50420766
 0.43091284 0.43161531 0.43231854 0.36471954 0.37040418 0.37614759
 0.29955906 0.29181514 0.28420584 0.22696121 0.22696121 0.22696121
 0.17807715 0.17807715 0.17807715 0.18232712 0.18232712 0.18232712]",
towerse.section_Iyy,kg*m**2,"[0.71002959 0.69646798 0.68308016 0.63140014 0.63389447 0.63639536
 0.56478569 0.56090656 0.55704523 0.49492863 0.49955378 0.50420766
 0.43091284 0.43161531 0.43231854 0.36471954 0.37040418 0.37614759
 0.29955906 0.29181514 0.28420584 0.22696121 0.22696121 0.22696121
 0.17807715 0.17807715 0.17807715 0.18232712 0.18232712 0.18232712]",
towerse.section_J0,kg*m**2,"[1.42005919 1.39293596 1.36616033 1.26280028 1.26778894 1.27279071
 1.12957138 1.12181312 1.11409046 0.98985726 0.99910756 1.00841532
 0.86182569 0.86323062 0.86463708 0.72943908 0.74080836 0.75229518
 0.59911813 0.58363028 0.56841168 0.45392242 0.45392242 0.45392242
 0.3561543  0.3561543  0.3561543  0.36465423 0.36465423 0.36465423]",
towerse.section_rho,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
towerse.section_E,Pa,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11]",
towerse.section_G,Pa,"[8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10 8.07692308e+10 8.07692308e+10
 8.07692308e+10 8.07692308e+10]",
towerse.tower.rna_F,N,"[[  519722.34140323]
 [    5636.1498164 ]
 [-1058282.28879582]]",
towerse.tower.rna_M,N*m,"[[  76255.05208551]
 [1039504.68349787]
 [ 516019.59480271]]",
towerse.Px,N/m,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
towerse.Py,N/m,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
towerse.Pz,N/m,"[[   0.        ]
 [ -37.11502983]
 [ -52.13113951]
 [ -63.18835971]
 [ -72.81484034]
 [ -81.06150661]
 [ -88.37128173]
 [ -94.58769422]
 [-100.27728787]
 [-105.55209539]
 [-111.28296915]
 [-116.82380265]
 [-122.21894963]
 [-127.03702724]
 [-131.68803764]
 [-136.1865366 ]
 [-141.44481221]
 [-146.62843615]
 [-151.74122831]
 [-153.84863795]
 [-155.76278291]
 [-157.49591616]
 [-161.01864737]
 [-164.45395369]
 [-167.80676745]
 [-171.08157022]
 [-174.28244893]
 [-177.41314339]
 [-180.4686651 ]
 [-183.46094058]
 [-186.39286428]]",
towerse.post.cylinder_Fz,N,"[[-2429303.1649731 ]
 [-2347384.37944037]
 [-2265958.73339467]
 [-2190270.54060752]
 [-2114459.42909341]
 [-2038528.45970254]
 [-1971197.01923274]
 [-1904003.82093444]
 [-1836950.10136157]
 [-1777402.49673263]
 [-1717655.97351539]
 [-1657710.96888542]
 [-1606733.42307607]
 [-1555715.87119055]
 [-1504658.73507456]
 [-1461823.43537185]
 [-1418754.84316739]
 [-1375453.14729905]
 [-1340774.88570151]
 [-1306389.23970405]
 [-1272296.7006425 ]
 [-1244798.00355223]
 [-1217290.12185099]
 [-1189773.27983568]
 [-1168102.25813657]
 [-1146422.68854285]
 [-1124734.76123151]
 [-1102591.84377643]
 [-1080440.96541334]
 [-1058282.28879582]]",
towerse.post.cylinder_Vx,N,"[[519739.57682439]
 [519770.89249333]
 [519801.38757019]
 [519824.95907234]
 [519854.26529754]
 [519882.47514189]
 [519889.79717003]
 [519915.25185132]
 [519939.6957625 ]
 [519938.00537072]
 [519961.46019527]
 [519983.77148488]
 [519963.59463464]
 [519982.93267666]
 [520001.19406758]
 [519972.03311437]
 [519989.16252784]
 [520005.16208656]
 [519961.18926139]
 [519971.66849329]
 [519981.17831652]
 [519941.0372628 ]
 [519950.78678158]
 [519959.43114899]
 [519915.99954782]
 [519922.45178172]
 [519927.79061927]
 [519936.25000286]
 [519939.34189661]
 [519941.32619105]]",
towerse.post.cylinder_Vy,N,"[[5636.30296897]
 [5636.57495978]
 [5636.83757797]
 [5637.03801141]
 [5637.28571152]
 [5637.52161983]
 [5637.57694847]
 [5637.7844918 ]
 [5637.98094458]
 [5637.9556171 ]
 [5638.13856181]
 [5638.30936578]
 [5638.12819531]
 [5638.269148  ]
 [5638.39852474]
 [5638.14482208]
 [5638.25936684]
 [5638.36207429]
 [5637.99579474]
 [5638.04914575]
 [5638.09149601]
 [5637.7614243 ]
 [5637.79800136]
 [5637.82270906]
 [5637.48103282]
 [5637.4819812 ]
 [5637.47099534]
 [5637.47482932]
 [5637.4402048 ]
 [5637.39374511]]",
